Datetime,Open,High,Low,Close,Volume
2025-12-03 12:30:00-05:00,682.72,683.745,682.72,683.53,1411996.0
2025-12-03 13:00:00-05:00,683.51,684.1,683.25,683.95,4062449.0
2025-12-03 13:30:00-05:00,683.95,684.185,683.475,684.0501,2186791.0
2025-12-03 14:00:00-05:00,684.05,684.5,683.7866,684.1,1932031.0
2025-12-03 14:30:00-05:00,684.1038,684.44,684.09,684.3,1961080.0
2025-12-03 15:00:00-05:00,684.3001,684.75,684.165,684.73,2560962.0
2025-12-03 15:30:00-05:00,684.735,684.91,684.19,684.495,3408505.0
2025-12-03 16:00:00-05:00,684.5,684.62,683.55,683.87,10728930.0
2025-12-03 16:30:00-05:00,683.89,684.09,683.79,683.86,2484771.0
2025-12-03 17:00:00-05:00,683.84,684.1,683.84,684.0,307579.0
2025-12-03 17:30:00-05:00,683.93,684.04,683.9,684.04,67082.0
2025-12-03 18:00:00-05:00,684.03,684.14,683.88,684.04,39107.0
2025-12-03 18:30:00-05:00,684.02,684.12,683.7,684.0,21154.0
2025-12-03 19:00:00-05:00,684.0001,684.05,683.8,683.84,11159.0
2025-12-03 19:30:00-05:00,683.84,684.2497,683.81,684.07,12078.0
2025-12-03 20:00:00-05:00,684.0801,684.0801,683.42,683.57,29518.0
