Datetime,Open,High,Low,Close,Volume
2025-10-06 16:25:00-04:00,671.68,671.7,671.66,671.7,16204.0
2025-10-06 16:30:00-04:00,671.7,671.77,671.7,671.73,149675.0
2025-10-06 16:35:00-04:00,671.75,671.81,671.73,671.81,155366.0
2025-10-06 16:40:00-04:00,671.81,671.83,671.74,671.79,11972.0
2025-10-06 16:45:00-04:00,671.8,671.86,671.75,671.77,138131.0
2025-10-06 16:50:00-04:00,671.78,671.79,671.75,671.78,11666.0
2025-10-06 16:55:00-04:00,671.78,671.83,671.761,671.83,3302.0
2025-10-06 17:00:00-04:00,671.83,671.8587,671.73,671.85,29829.0
2025-10-06 17:05:00-04:00,671.8,671.8,671.75,671.75,1270.0
2025-10-06 17:10:00-04:00,671.73,671.73,671.69,671.7,2758.0
2025-10-06 17:15:00-04:00,671.71,671.71,671.64,671.7,7998.0
2025-10-06 17:20:00-04:00,671.77,671.85,671.73,671.79,613776.0
2025-10-06 17:25:00-04:00,671.85,671.85,671.7214,671.7214,1880.0
2025-10-06 17:30:00-04:00,671.84,671.84,671.66,671.66,3192.0
2025-10-06 17:35:00-04:00,671.71,671.71,671.71,671.71,225.0
2025-10-06 17:40:00-04:00,671.79,671.79,671.76,671.76,480.0
2025-10-06 17:45:00-04:00,671.76,671.76,671.76,671.76,292.0
2025-10-06 18:00:00-04:00,671.81,671.89,671.7,671.89,27052.0
2025-10-06 18:05:00-04:00,671.9,671.99,671.81,671.81,3070.0
2025-10-06 18:10:00-04:00,671.82,671.86,671.82,671.86,1845.0
2025-10-06 18:15:00-04:00,671.91,671.93,671.8,671.83,2593.0
2025-10-06 18:20:00-04:00,671.81,671.85,671.8,671.82,2033.0
2025-10-06 18:25:00-04:00,671.83,671.88,671.83,671.88,2686.0
2025-10-06 18:30:00-04:00,671.88,671.88,671.69,671.69,4084.0
2025-10-06 18:35:00-04:00,671.68,671.68,671.61,671.61,2111.0
2025-10-06 18:40:00-04:00,671.5905,671.6299,671.35,671.35,6447.0
2025-10-06 18:45:00-04:00,671.3,671.3,671.05,671.1581,10101.0
2025-10-06 18:50:00-04:00,671.21,671.25,671.17,671.2,8074.0
2025-10-06 18:55:00-04:00,671.16,671.2,670.839,670.84,11506.0
2025-10-06 19:00:00-04:00,670.82,670.82,670.53,670.69,15063.0
2025-10-06 19:05:00-04:00,670.6886,670.6886,670.5,670.5084,5077.0
2025-10-06 19:10:00-04:00,670.4874,670.65,670.4874,670.639,15014.0
2025-10-06 19:15:00-04:00,670.64,670.7,670.58,670.59,8979.0
2025-10-06 19:20:00-04:00,670.6009,670.74,670.53,670.74,3008.0
2025-10-06 19:25:00-04:00,670.75,670.9,670.74,670.85,3985.0
2025-10-06 19:30:00-04:00,670.84,670.84,670.84,670.84,487.0
2025-10-06 19:35:00-04:00,670.73,670.76,670.66,670.67,3524.0
2025-10-06 19:40:00-04:00,670.76,670.76,670.72,670.72,318.0
2025-10-06 19:45:00-04:00,670.9,670.91,670.85,670.85,5973.0
2025-10-06 19:50:00-04:00,670.83,670.8596,670.77,670.8596,2889.0
2025-10-06 19:55:00-04:00,670.87,670.87,670.75,670.77,2182.0
2025-10-06 20:00:00-04:00,670.69,670.72,670.6199,670.68,14154.0
