Datetime,Open,High,Low,Close,Volume
2025-08-28 13:33:00-04:00,648.22,648.3,648.083,648.0858,245198.0
2025-08-28 13:36:00-04:00,648.09,648.35,648.075,648.3,441935.0
2025-08-28 13:39:00-04:00,648.28,648.29,648.14,648.181,175336.0
2025-08-28 13:42:00-04:00,648.19,648.38,648.1793,648.35,188294.0
2025-08-28 13:45:00-04:00,648.355,648.43,648.27,648.385,159172.0
2025-08-28 13:48:00-04:00,648.38,648.46,648.32,648.4299,186517.0
2025-08-28 13:51:00-04:00,648.4242,648.47,648.32,648.425,225476.0
2025-08-28 13:54:00-04:00,648.42,648.515,648.37,648.44,305952.0
2025-08-28 13:57:00-04:00,648.44,648.44,648.29,648.375,249247.0
2025-08-28 14:00:00-04:00,648.38,648.46,648.265,648.34,249310.0
2025-08-28 14:03:00-04:00,648.33,648.45,648.315,648.408,240651.0
2025-08-28 14:06:00-04:00,648.41,648.51,648.38,648.507,249825.0
2025-08-28 14:09:00-04:00,648.5,648.56,648.43,648.485,156242.0
2025-08-28 14:12:00-04:00,648.48,648.56,648.37,648.53,424967.0
2025-08-28 14:15:00-04:00,648.53,648.55,648.35,648.365,337643.0
2025-08-28 14:18:00-04:00,648.36,648.52,648.35,648.435,221985.0
2025-08-28 14:21:00-04:00,648.44,648.55,648.4,648.5281,170205.0
2025-08-28 14:24:00-04:00,648.5,648.58,648.45,648.51,169834.0
2025-08-28 14:27:00-04:00,648.51,648.61,648.475,648.6,382686.0
2025-08-28 14:30:00-04:00,648.595,648.76,648.54,648.68,510072.0
2025-08-28 14:33:00-04:00,648.67,648.86,648.67,648.76,417763.0
2025-08-28 14:36:00-04:00,648.75,648.85,648.73,648.76,258807.0
2025-08-28 14:39:00-04:00,648.75,648.89,648.71,648.84,279387.0
2025-08-28 14:42:00-04:00,648.84,649.005,648.82,648.92,358158.0
2025-08-28 14:45:00-04:00,648.915,648.93,648.78,648.85,566755.0
2025-08-28 14:48:00-04:00,648.86,648.9149,648.785,648.8,160921.0
2025-08-28 14:51:00-04:00,648.8,648.92,648.77,648.92,299431.0
2025-08-28 14:54:00-04:00,648.92,648.95,648.8,648.9266,232436.0
2025-08-28 14:57:00-04:00,648.92,649.04,648.84,649.0,267624.0
2025-08-28 15:00:00-04:00,648.9901,649.115,648.93,649.04,301173.0
2025-08-28 15:03:00-04:00,649.055,649.16,649.03,649.06,402925.0
2025-08-28 15:06:00-04:00,649.06,649.08,648.84,649.02,272060.0
2025-08-28 15:09:00-04:00,649.025,649.1476,648.9942,649.11,336455.0
2025-08-28 15:12:00-04:00,649.11,649.25,649.07,649.24,232708.0
2025-08-28 15:15:00-04:00,649.235,649.245,649.005,649.005,362198.0
2025-08-28 15:18:00-04:00,649.005,649.07,648.92,649.055,571745.0
2025-08-28 15:21:00-04:00,649.05,649.06,648.96,649.04,287111.0
2025-08-28 15:24:00-04:00,649.035,649.035,648.91,648.9301,238328.0
2025-08-28 15:27:00-04:00,648.93,649.06,648.855,649.035,269818.0
2025-08-28 15:30:00-04:00,649.0301,649.0301,648.85,648.855,437814.0
2025-08-28 15:33:00-04:00,648.855,648.965,648.81,648.85,394651.0
2025-08-28 15:36:00-04:00,648.86,648.97,648.78,648.815,623453.0
2025-08-28 15:39:00-04:00,648.815,648.94,648.73,648.92,602137.0
2025-08-28 15:42:00-04:00,648.92,649.14,648.9046,649.105,555155.0
2025-08-28 15:45:00-04:00,649.1,649.195,649.025,649.1,420967.0
2025-08-28 15:48:00-04:00,649.1,649.39,649.1,649.28,639184.0
2025-08-28 15:51:00-04:00,649.29,649.3,648.8,649.09,1642193.0
2025-08-28 15:54:00-04:00,649.08,649.48,649.07,649.445,1505239.0
2025-08-28 15:57:00-04:00,649.44,649.44,649.04,649.23,1510457.0
2025-08-28 16:00:00-04:00,649.22,649.25,648.58,648.65,4022767.0
2025-08-28 16:03:00-04:00,648.65,648.95,648.59,648.9,221178.0
2025-08-28 16:06:00-04:00,648.9,648.98,648.75,648.81,117610.0
2025-08-28 16:09:00-04:00,648.8,648.91,648.7301,648.9,65659.0
2025-08-28 16:12:00-04:00,648.9,648.96,648.88,648.91,2222135.0
2025-08-28 16:15:00-04:00,648.92,648.93,648.87,648.92,149499.0
2025-08-28 16:18:00-04:00,648.92,649.79,648.92,648.94,113460.0
2025-08-28 16:21:00-04:00,648.94,648.94,648.88,648.89,15841.0
2025-08-28 16:24:00-04:00,648.89,648.98,648.88,648.94,49102.0
2025-08-28 16:27:00-04:00,648.97,649.02,648.96,649.0,30272.0
2025-08-28 16:30:00-04:00,649.0,649.04,648.91,649.04,18191.0
2025-08-28 16:33:00-04:00,649.04,649.08,649.04,649.07,18515.0
2025-08-28 16:36:00-04:00,649.07,649.21,649.0,649.1,124519.0
2025-08-28 16:39:00-04:00,649.02,649.06,649.02,649.04,94557.0
2025-08-28 16:42:00-04:00,649.03,649.06,648.95,648.98,6362.0
2025-08-28 16:45:00-04:00,648.97,649.02,648.97,649.0,6179.0
2025-08-28 16:48:00-04:00,648.99,649.0,648.89,648.91,13198.0
2025-08-28 16:51:00-04:00,648.92,648.94,648.89,648.91,6926.0
2025-08-28 16:54:00-04:00,648.9,648.92,648.9,648.91,9925.0
2025-08-28 16:57:00-04:00,648.91,648.91,648.86,648.87,4291.0
2025-08-28 17:00:00-04:00,648.87,648.98,648.81,648.98,12691.0
2025-08-28 17:03:00-04:00,648.98,649.03,648.94,649.01,3231.0
2025-08-28 17:06:00-04:00,648.91,648.92,648.9,648.91,1287.0
2025-08-28 17:09:00-04:00,648.93,648.93,648.76,648.76,7329.0
2025-08-28 17:12:00-04:00,648.8,648.9699,648.8,648.9699,4395.0
2025-08-28 17:18:00-04:00,648.86,648.88,648.79,648.79,1555.0
2025-08-28 17:21:00-04:00,648.82,648.87,648.8,648.81,2899.0
2025-08-28 17:24:00-04:00,648.77,648.88,648.77,648.88,1231.0
2025-08-28 17:27:00-04:00,648.86,648.86,648.77,648.85,724.0
2025-08-28 17:30:00-04:00,648.86,648.86,648.86,648.86,599.0
2025-08-28 17:33:00-04:00,648.85,648.85,648.78,648.78,5295.0
2025-08-28 17:36:00-04:00,648.78,648.8364,648.77,648.77,1993.0
2025-08-28 17:39:00-04:00,648.8,648.8,648.79,648.79,1228.0
2025-08-28 17:42:00-04:00,648.76,648.76,648.76,648.76,217.0
2025-08-28 17:45:00-04:00,648.78,648.79,648.77,648.79,1906.0
2025-08-28 17:48:00-04:00,648.78,648.78,648.78,648.78,231.0
2025-08-28 17:51:00-04:00,648.78,648.78,648.78,648.78,402.0
2025-08-28 17:54:00-04:00,648.79,648.79,648.79,648.79,511.0
2025-08-28 17:57:00-04:00,648.82,648.82,648.8,648.8,968.0
2025-08-28 18:00:00-04:00,648.8,648.92,648.75,648.89,28734.0
2025-08-28 18:03:00-04:00,648.79,648.84,648.66,648.84,6186.0
2025-08-28 18:06:00-04:00,648.8319,648.92,648.79,648.87,1077.0
2025-08-28 18:09:00-04:00,648.83,648.83,648.75,648.75,1527.0
2025-08-28 18:12:00-04:00,648.74,648.84,648.74,648.84,3851.0
2025-08-28 18:15:00-04:00,648.83,648.83,648.7,648.77,758.0
2025-08-28 18:18:00-04:00,648.7,648.76,648.66,648.76,3657.0
2025-08-28 18:21:00-04:00,648.69,648.69,648.63,648.68,9515.0
2025-08-28 18:24:00-04:00,648.71,648.74,648.71,648.74,926.0
2025-08-28 18:27:00-04:00,648.78,648.78,648.78,648.78,255.0
2025-08-28 18:30:00-04:00,648.66,648.66,648.6496,648.6496,234.0
2025-08-28 18:33:00-04:00,648.63,648.63,648.63,648.63,322.0
2025-08-28 18:36:00-04:00,648.64,648.64,648.5,648.5,11033.0
2025-08-28 18:39:00-04:00,648.5,648.52,648.46,648.46,6872.0
2025-08-28 18:42:00-04:00,648.48,648.5,648.46,648.4796,2295.0
2025-08-28 18:45:00-04:00,648.47,648.5,648.41,648.44,3854.0
2025-08-28 18:48:00-04:00,648.41,648.41,648.41,648.41,451.0
2025-08-28 18:51:00-04:00,648.47,648.5,648.47,648.5,743.0
2025-08-28 18:54:00-04:00,648.51,648.51,648.51,648.51,1550.0
2025-08-28 18:57:00-04:00,648.43,648.45,648.42,648.45,1268.0
2025-08-28 19:00:00-04:00,648.43,648.48,648.42,648.48,964.0
2025-08-28 19:03:00-04:00,648.6,648.63,648.3905,648.3905,1009.0
2025-08-28 19:06:00-04:00,648.5,648.5,648.5,648.5,220.0
2025-08-28 19:09:00-04:00,648.55,648.6,648.55,648.6,718.0
2025-08-28 19:15:00-04:00,648.55,648.55,648.55,648.55,301.0
2025-08-28 19:18:00-04:00,648.55,648.57,648.55,648.57,2315.0
2025-08-28 19:21:00-04:00,648.56,648.56,648.55,648.55,1940.0
2025-08-28 19:24:00-04:00,648.5,648.5,648.5,648.5,384.0
2025-08-28 19:27:00-04:00,648.53,648.53,648.51,648.51,598.0
2025-08-28 19:30:00-04:00,648.54,648.57,648.53,648.57,690.0
2025-08-28 19:33:00-04:00,648.58,648.58,648.57,648.57,706.0
2025-08-28 19:36:00-04:00,648.6,648.6,648.6,648.6,212.0
2025-08-28 19:39:00-04:00,648.61,648.68,648.61,648.68,905.0
2025-08-28 19:42:00-04:00,648.66,648.66,648.66,648.66,183.0
2025-08-28 19:45:00-04:00,648.6301,648.66,648.63,648.65,997.0
2025-08-28 19:48:00-04:00,648.66,648.66,648.66,648.66,156.0
2025-08-28 19:51:00-04:00,648.57,648.57,648.57,648.57,115.0
