Datetime,Open,High,Low,Close,Volume
2025-12-01 15:30:00-05:00,617.17,617.31,617.07,617.15,92331.0
2025-12-01 15:45:00-05:00,617.155,617.66,616.81,617.399,1021700.0
2025-12-01 16:00:00-05:00,617.4045,617.58,616.3,617.32,4876074.0
2025-12-01 16:15:00-05:00,617.34,617.41,616.75,616.93,821562.0
2025-12-01 16:30:00-05:00,616.92,617.25,616.92,617.01,49494.0
2025-12-01 16:45:00-05:00,617.0,617.18,616.96,617.15,47498.0
2025-12-01 17:00:00-05:00,617.17,617.3,617.13,617.16,117201.0
2025-12-01 17:15:00-05:00,617.1,617.23,617.1,617.23,3940.0
2025-12-01 17:30:00-05:00,617.2,617.28,617.17,617.18,6078.0
2025-12-01 17:45:00-05:00,617.25,617.28,617.18,617.27,5021.0
2025-12-01 18:00:00-05:00,617.29,617.5,617.26,617.49,9692.0
2025-12-01 18:15:00-05:00,617.45,617.7,616.67,616.89,34137.0
2025-12-01 18:30:00-05:00,616.96,617.615,616.93,617.54,42403.0
2025-12-01 18:45:00-05:00,617.5,617.67,617.4,617.4,7215.0
2025-12-01 19:00:00-05:00,617.45,617.45,616.92,616.92,11520.0
2025-12-01 19:15:00-05:00,616.9,617.32,616.77,617.25,13200.0
2025-12-01 19:30:00-05:00,617.225,617.27,617.02,617.24,5061.0
2025-12-01 19:45:00-05:00,617.23,617.54,617.23,617.39,7956.0
2025-12-01 20:00:00-05:00,617.39,617.4,617.26,617.38,12600.0
