Datetime,Open,High,Low,Close,Volume
2026-01-15 13:00:00-05:00,695.01,695.095,693.88,694.0301,4706609.0
2026-01-15 14:00:00-05:00,694.03,695.25,693.94,694.51,4900374.0
2026-01-15 15:00:00-05:00,694.5,694.65,692.37,692.58,8972583.0
2026-01-15 16:00:00-05:00,692.575,693.03,691.25,692.15,18656962.0
2026-01-15 17:00:00-05:00,692.16,692.2801,691.85,692.13,6113501.0
2026-01-15 18:00:00-05:00,692.14,692.45,692.05,692.29,126646.0
2026-01-15 19:00:00-05:00,692.33,692.8,692.01,692.68,145964.0
2026-01-15 20:00:00-05:00,692.75,692.98,692.5,692.9387,34812.0
