Datetime,Open,High,Low,Close,Volume
2025-12-08 08:34:00-05:00,686.66,686.68,686.66,686.67,2230.0
2025-12-08 08:35:00-05:00,686.68,686.7,686.59,686.69,1368.0
2025-12-08 08:36:00-05:00,686.68,686.69,686.67,686.69,1309.0
2025-12-08 08:37:00-05:00,686.6976,686.6976,686.6976,686.6976,229.0
2025-12-08 08:38:00-05:00,686.66,686.67,686.55,686.6245,6858.0
2025-12-08 08:39:00-05:00,686.62,686.65,686.61,686.62,13913.0
2025-12-08 08:40:00-05:00,686.62,686.6397,686.53,686.59,3186.0
2025-12-08 08:41:00-05:00,686.59,686.62,686.58,686.58,1045.0
2025-12-08 08:42:00-05:00,686.59,686.65,686.58,686.63,3302.0
2025-12-08 08:43:00-05:00,686.66,686.68,686.62,686.66,2587.0
2025-12-08 08:44:00-05:00,686.6904,686.71,686.67,686.7,665.0
2025-12-08 08:45:00-05:00,686.7219,686.83,686.7219,686.81,2568.0
2025-12-08 08:46:00-05:00,686.8,686.89,686.75,686.89,1694.0
2025-12-08 08:47:00-05:00,686.868,686.92,686.86,686.86,7378.0
2025-12-08 08:48:00-05:00,686.8693,686.8693,686.77,686.81,1483.0
2025-12-08 08:49:00-05:00,686.82,686.88,686.82,686.86,8866.0
2025-12-08 08:50:00-05:00,686.86,686.88,686.77,686.86,6371.0
2025-12-08 08:51:00-05:00,686.84,686.84,686.78,686.78,1027.0
2025-12-08 08:52:00-05:00,686.78,686.86,686.78,686.8,11551.0
2025-12-08 08:53:00-05:00,686.81,686.84,686.75,686.82,5361.0
2025-12-08 08:54:00-05:00,686.8395,686.88,686.8,686.88,3265.0
2025-12-08 08:55:00-05:00,686.84,686.9591,686.84,686.9303,1088.0
2025-12-08 08:56:00-05:00,686.94,686.94,686.78,686.78,3181.0
2025-12-08 08:57:00-05:00,686.78,686.82,686.78,686.79,1006.0
2025-12-08 08:58:00-05:00,686.77,686.77,686.75,686.76,1076.0
2025-12-08 08:59:00-05:00,686.7599,686.89,686.74,686.89,5800.0
2025-12-08 09:00:00-05:00,686.9,686.96,686.85,686.93,1356.0
2025-12-08 09:01:00-05:00,686.88,686.97,686.88,686.96,6272.0
2025-12-08 09:02:00-05:00,686.9601,686.97,686.92,686.95,5443.0
2025-12-08 09:03:00-05:00,686.96,687.1,686.96,687.07,8780.0
2025-12-08 09:04:00-05:00,687.04,687.1123,687.04,687.1,2703.0
